,標題,版主,日期,時間,觀看數,留言
310,【心得】各職業推薦套牌 (便宜又強為主),evildark,06/07,19:33,4782,2
311,【情報】手機版下載日版主程式並進行投票，最少拿一包卡包,SuperGamer,06/07,12:26,2395,6
312,【閒聊】事故人人有，一般是巧合，我的是日常。,altema,06/07,03:19,1885,0
313,【情報】每周日本上位構築周報,aabcd7530,06/06,10:20,6924,4
314,【繪圖】【漫畫】 打寶箱,jeff60316377,06/06,00:52,6162,14
315,【情報】シャドウバースF（フレイム）第十話討論區,j60212,06/06,00:17,2951,13
316,【問題】關於入坑實卡,kaitomiku,06/05,17:24,1684,3
317,【情報】シャドウバースF（フレイム）第九話討論區,Jackho125,06/03,23:30,3623,14
318,【繪圖】好想把絕滅塞回去...,Icespirit135,06/03,03:27,5941,27
319,【問題】消失護符教組牌請益,antonyno3,06/02,00:10,3085,25
320,【情報】舉辦大賽「EOP 指定系列盃 Vol.2」公告,qwert7410100,06/01,16:23,1627,3
321,【問題】新手入坑的迷惘,iamapig717,05/31,23:22,8406,63
322,【問題】請問各位大大,jimlin0522,05/31,22:59,926,2
323,【討論】各職對於龍首獵殺者的對策？,kirby0428,05/28,21:01,5206,33
324,直播的新手上路,Vice1412,05/28,16:10,2178,5
325,【問題】回坑,IANfan891112,05/28,12:52,1643,2
326,【討論】［剧透］天象旅籠篇里出现的矛盾,a3737795,05/27,21:16,4262,15
327,【討論】關於死靈  主教  復仇者的噁心人的牌,s910422,05/27,18:34,3557,20
328,【問題】有關根源回歸問題,shumka234,05/27,17:07,1281,4
329,【討論】《天象樂土》【巫師】職業相關討論串,henry0731,05/26,16:58,9158,14
330,【問題】土印是不是不行了,henry0731,05/26,14:14,5173,31
331,【問題】新手求解每日各職業牌組,ttsk37,05/25,19:12,1603,9
332,【問題】官網Q&A翻譯,s123a123m,05/25,19:09,2837,10
333,【心得】EOP版本皇家GM心得文,novel261514,05/25,18:47,2710,6
334,【問題】請問亡街大幽靈的觸發問題?,snoopy00031,05/25,18:45,1999,17
335,【討論】【指定】里榭娜人偶仇,a3878250,05/25,17:09,4600,15
336,"【問題】手機有安裝sv,卻找不到",ikaros12,05/25,08:33,664,1
337,【討論】《天象樂土》【皇家護衛】職業相關討論串,Zafkiel,05/24,10:15,5618,8
338,【問題】效果處理順序問題？,NJ213418151,05/23,13:19,2529,3
339,【情報】シャドウバースF（フレイム）第八話討論區,coco8221,05/22,22:53,3015,12
340,【討論】【討論】《天象樂土》【死靈】職業相關討論串,cole00554,05/21,16:48,4157,2
341,【情報】シャドウバースF（フレイム）第七話討論區,se927075,05/21,14:03,4169,16
342,【攻略】【我ㄉ腦花30塊】闇影詩章F合作 第2次盤面解謎影片攻略（附時間軸）,Vice1412,05/21,11:18,1465,0
343,【攻略】盤面解謎全解答，約1分50秒,ssss91268sss,05/21,10:37,3211,0
344,【攻略】第二次盤面解謎高級,michael01122,05/21,10:20,1528,1
345,【討論】4個卡包代表新的主戰者投票又要準備開始了,smile757011,05/21,09:30,16k,78
346,【心得】（涉及劇透）連續兩個主線劇情都好不快樂,GETYOU0707,05/21,00:57,4241,20
347,【心得】【EOP-DLC前】OTK之玄妙幻法－文豪降肉雙子巫GM,cole00554,05/20,19:45,3814,19
348,【討論】主戰者：露妮有這麼大嗎？,dov08x80vob,05/20,02:37,9619,17
349,【問題】主戰者其實有越做越用心...吧?,GETYOU0707,05/20,00:29,6139,14
350,【情報】【出新卡了阿北！】EOP 天象樂土擴充卡包丨新卡不負責任評價,Vice1412,05/19,12:15,4626,2
351,【問題】一直連線逾時,s0939635618,05/19,11:51,765,1
352,【情報】第24彈卡包《天象樂土》追加卡情報公開(全數公開),QWERTYUIOP32,05/19,11:33,79k,37
353,【心得】S7對戰通行證解完好耶,doongsimon,05/18,06:10,3288,16
354,【閒聊】棄牌進化吸，吸血鬼的特色是混軸,LvDiego,05/17,20:09,3697,5
355,【討論】遊戲檔案只有183MB？,SuperGamer,05/17,20:05,1835,4
356,【心得】女神教菜逼八上GM心得,a40733604,05/17,05:04,3995,12
357,【閒聊】有人能提供以災禍之神為主軸的牌組嗎,vin870329,05/17,03:08,3033,15
358,本討論串已無文章,Wer009,05/13,21:18,32,0
359,【情報】繁體中文版5週年紀念活動，登入送天象樂土卡包兌換券3張,a0203022,05/11,17:07,4133,3
360,【心得】無限制前百 潔淨奶教 心得,middle891129,05/11,16:37,6428,22
361,【問題】組不起跳費龍,haha0808,05/10,23:56,4240,29
362,【問題】從命運諸神開始退的 現在賽場毒瘤是誰,Djfbfii,05/10,20:25,3349,11
363,【情報】第一彈卡包《創世破曉》卡牌能力翻譯(更新進度：精靈完工),hayashitn,05/10,19:10,5320,24
364,【問題】找牌組,COCOCOC5,05/10,13:11,1371,3
365,實卡開箱(一盒+構築包)    5/9.禮盒開箱,a23038942,05/09,22:51,8084,54
366,【公告】追加EVOLVE子板,hayashitn,05/09,19:47,3903,3
367,【問題】闇影詩章 EVLOVE 預組 實卡入坑問題,BRUSE1000,05/09,17:10,2197,9
368,【討論】Buff龍：牌組帶不帶托宣，後手留不留天使恩寵,evildark,05/09,12:54,4849,27
369,【情報】【情報】シャドウバースF（フレイム）第六話討論區,starshadow23,05/08,04:31,2956,21
370,【其他】NS霸者之戰line群組招生中（互助、討論、連線、組改牌、天梯、劇情討論）,shevchenco26,05/07,17:07,2563,17
371,【討論】原來消失不能讓神偉的劍士不再出現喔(ˊ_>ˋ),SuperGamer,05/07,08:32,4400,19
372,【問題】有意思的對戰集中串,hayashitn,05/07,04:56,764,1
373,【心得】Shadowverse/EVOLVE 實體卡 超越法組牌心得,hank1232000,05/06,20:22,3598,7
374,【問題】遊戲閃退,Ywyw66666,05/06,10:12,1023,20
375,【攻略】亞里莎的歡樂罰站之旅 - 新版本上線,michael3493,05/05,18:22,14k,48
376,首篇已刪,sysop,05/02,18:54,61k,138
377,【情報】シャドウバースF（フレイム）第五話討論區,GETYOU0707,04/30,22:45,3597,18
378,【攻略】4/30盤面解謎,a125566713tw,04/30,10:32,4289,0
379,【攻略】【我ㄉ腦花30塊】闇影詩章F合作 盤面解謎影片攻略（附時間軸）,Vice1412,04/30,10:05,1492,0
380,【討論】［討論］EOP無限制盃戰绩分享串（4/19~4/30）,Lullaby101,04/30,01:25,7121,35
381,本討論串已無文章,alice910722,04/29,21:05,17,0
382,【討論】SV有什麼一樣的等死方式嗎,erian25,04/29,13:27,7266,37
383,【情報】シャドウバースF（フレイム）第一話討論區（暫定）,GameChat543,04/28,23:24,5674,22
384,【心得】雙子死,alex14301,04/28,22:53,7347,33
385,首篇已刪,hayashitn,04/28,16:44,1744,6
386,【討論】從什麼時候開始，我們不再在乎血鬼是否觸發了復仇狀態？,howeim8864,04/28,11:43,7823,42
387,【攻略】Shadowverse EVOLVE組牌教學(10F預計發布:桌遊模擬器遊玩教學),KoiKoi1022,04/28,10:20,19k,10
388,オーズop,Vice1412,04/26,22:26,1651,1
389,本討論串已無文章,nsrforever,04/24,19:57,5,0
390,【情報】シャドウバースF（フレイム）第四話討論區,qwe50188,04/24,13:24,3174,29
391,【情報】【情報】シャドウバースF（フレイム）第三話討論區,WW845752841,04/23,00:02,3979,8
392,【心得】各職業千勝達成~~~,lion2701,04/22,19:19,3575,13
393,【討論】那些每次要輸的時候就 跳有夠沒品 浪費一堆時間,hayashitn,04/22,15:38,6294,37
394,【討論】一些娛樂向搞心態的牌組,QQQ13777,04/22,12:00,5458,23
395,【閒聊】關於可撥主教的天盾媽媽,ian8557,04/22,07:51,3610,26
396,【問題】新手回窩問題,johnnylee17,04/21,23:47,1372,4
397,【問題】回鍋請益,JJB190,04/21,18:42,399,1
398,【問題】99814 私人對戰幫解QQ,Rock711616,04/21,13:57,1558,7
399,【問題】請問Steam版如何登出或刪除帳號？,a40939170,04/19,19:30,1087,11
400,【Cos】武藝至尊・迦爾拉,hayashitn,04/18,22:48,6853,16
401,【問題】關於卡片不同樣子,Aa28412230,04/18,14:02,2375,6
402,【情報】闇影詩章F連動,WLO1908478,04/18,09:19,4749,11
403,【討論】【用生命在拍動畫吐槽】竟然沒有華文代理？這部動畫的表現究竟如何？,Vice1412,04/17,20:44,1357,0
404,【繪圖】「シャドウバースFLAME」美鬼しのぶ,Vice1412,04/17,12:01,1828,0
405,【問題】無法登入,BHSN00005coq,04/16,18:59,1045,16
406,【問題】有什麼皇家牌組是針對棄牌吸的嗎？,g21753308,04/16,18:23,4099,10
407,【閒聊】馬娘杯優勝牌組分享,james6925915,04/16,17:37,1716,4
408,【討論】指定模式大賽「冠軍集會」(4/7~4/18)：A組，5勝串,kings930321,04/16,15:52,5937,22
409,【問題】棄牌吸到底要怎麼打,D40527,04/14,14:13,16k,48
410,【問題】回鍋問題請教,gamemike,04/13,23:17,2351,22
411,[繪圖]女僕亞里莎,kira1995321,04/12,21:56,2780,12
412,【圭幻想】森林深處的舞會,spacezipper,04/12,01:00,1683,9
413,【情報】シャドウバースF（フレイム）第二話討論區（暫定）,tpemike,04/11,21:49,4084,45
414,【問題】STEAM版 帳號停權,SuperGamer,04/11,11:50,1776,4
415,【討論】《天象樂土》【主教】職業相關討論串,hentaistar8,04/09,00:18,5007,21
416,【心得】自組控制型盾教GM套牌，我覺得這是主教的完全體了吧,jemmy111110,04/08,23:33,4903,13
417,【心得】愉悅的吸血鬼獵殺者 控制雪華妖,lala5487,04/08,23:26,4159,20
418,【問題】想問這樣開局行嗎 有沒有抽到哪張卡就能直接確定可以開局,rex58664,04/08,22:36,218,1
419,【問題】葬送死跟龍族跟大家推薦先和合哪種玩,nyhcharlie,04/08,20:43,4105,22
420,【閒聊】來分享你的黃金船對你做了什麼吧,web920012003,04/08,19:06,16k,81
421,【問題】新手入坑 - 首抽開局及牌組請教,tony123bm,04/08,12:31,4747,33
422,【問題】造物仇打皇家跳榮勝是不是完全沒輒啊,brain3122287,04/08,09:31,5053,23
423,本討論串已無文章,jay20020719,04/07,19:41,137,4
424,【情報】舉辦大賽「冠軍集會」公告,joe711080,04/05,23:01,3744,6
425,【心得】「賽馬娘Pretty Derby」Quest：一場三解,aaaaaaa222d,04/05,22:15,8233,14
426,【閒聊】無限制環境更加惡臭了...(ˊ_>ˋ),aaaaaaa222d,04/05,22:11,11k,61
427,【閒聊】【指定】快吸們要不要來個比速大賽？,s80430639,04/05,20:55,4510,8
428,【心得】EOP無限制鬼殺指南：皇/仇/死/巫/教,SuperGamer,04/05,08:46,4615,15
429,【心得】神偉劍士卡片的介紹,flopquite4,04/04,21:38,6032,16
430,本討論串已無文章,loveyoyo531,04/04,21:03,18,0
431,【情報】動畫《闇影詩章 Shadowverse F》第二彈PV、主題歌情報公開,D40527,04/04,10:14,8287,41
432,【閒聊】無限制後手t2跳三隻大惡魔,Ajadalintw,04/04,03:08,3203,4
433,本討論串已無文章,andy23,04/03,21:46,52,7
434,【心得】進化死的新朋友  (4/03更新葬送軸構築 3F),bergess2266,04/03,15:02,7552,12
435,【問題】傳說卡分解,like456,04/03,02:14,2864,11
436,【情報】這次的Quest又有送一包暫用卡包了,poinddt,04/02,12:31,7358,9
437,首篇已刪,sysop,04/02,00:21,3103,16
438,【問題】【討論】《天象樂土》精靈職業相關討論串,etys2,04/01,19:58,3436,5
439,【攻略】【彈射文章導覽】 ☞活動攻略 ☞新手入門 ☞資料查詢,Calvinsu1114,04/01,15:10,3320,14
440,【閒聊】有人注意到，置頂文章被偷換了嗎,atr45276,04/01,10:43,3536,9
441,【情報】【台服】新年活動～共鬥三倍～每日送抽與石,Liujohnny,04/01,00:08,3274,6
442,【情報】SHADOW EVOLVE 和 山田 合作,stupidleo,03/31,20:29,7244,16
443,【情報】ラプラス・ダークネス 合作實卡,l01498283,03/31,20:28,3113,3
444,【問題】問Steam版 3200鑽石內購是多少 要幫我弟刷 電腦沒載SV,anson6407,03/31,20:08,1592,4
445,【情報】悲報，黃金船（旋鏢修女）被Cygame緊急下修,iamjohne04,03/31,15:42,8981,6
446,【問題】闇影詩章-賽馬娘盤面解謎 -564級 破題,a4585677,03/31,14:15,4496,6
447,【攻略】【我ㄉ腦花30塊】賽馬娘合作 黃金船「564級」盤面解謎影片攻略,Vice1412,03/31,13:16,3174,2
448,【攻略】黃金船船盤面解謎,A2619100,03/31,13:04,2644,2
449,【攻略】黃金船quest答案,Ajadalintw,03/31,11:49,3272,5
450,【密技】讓東海帝皇停止思考的辦法,salagadoola,03/30,11:55,6633,22
451,【心得】箭在弦上不得不發，矢在褲頭不得不拉--艾茲迪亞控制妖精 1.1Ver,jason1344,03/30,02:31,3682,38
452,【心得】【EOP指定制】乳不巨何以聚人心!!-大奶雙子法分享,KoiKoi1022,03/30,00:36,8647,6
453,【密技】先手4費5進化 原初之一,abyss233,03/29,23:28,2225,3
454,【問題】帳號鎖定,jason0919,03/29,20:20,1266,3
455,【心得】面對棄牌吸跟屁屁龍都不怕的女神奶教,chickenfish,03/29,14:14,3743,19
456,【情報】轉推官方貼文送黃金船,ym951003,03/29,12:36,2717,6
457,本討論串已無文章,like456,03/28,23:08,33,0
458,【問題】老手回鍋問題,chenjow,03/28,11:14,1807,12
459,【攻略】「賽馬娘Pretty Derby」Quest解謎+對戰一次三任務示範 補充追加黃金船,unknown3000,03/27,19:56,5100,9
460,【問題】新版本雪華妖還能活嗎？,dov08x80vob,03/27,02:42,5180,16
461,本討論串已無文章,bergess2266,03/26,22:03,10,0
462,【問題】關於協作皇的一些問題,bp940723,03/26,14:35,2067,7
463,【攻略】【我ㄉ腦花30塊】賽馬娘合作 盤面解謎影片攻略（附時間軸）,D40527,03/26,11:04,3993,5
464,【攻略】馬娘 Quest全任務解謎,HsAFH11,03/25,21:23,13k,19
465,【心得】安寐京治旅館指南書,poillookk,03/25,18:53,4418,13
466,【情報】馬娘合作3/25開始,joe711080,03/24,23:20,17k,91
467,【情報】【SHADOWVERSE EVOLVE】白骨聖堂一生推！SD06主教職業預組——污穢的洗禮 完整詳細內容翻譯,Vice1412,03/24,19:32,1992,0
468,【情報】薯薯自辦跨職業「十禍盃」交流賽開放報名囉 2022/3/24 20:30開戰！,b24951402,03/24,15:16,1483,4
469,【問題】混沌死物的激奏,chjohnny0114,03/23,13:24,2802,9
470,【攻略】卡片詞條「當」與「每當」之差異,CannedSaury,03/22,15:16,4159,8
471,本討論串已無文章,hspss95304,03/22,12:27,3812,76
472,【討論】《十禍鬥爭》龍族職業相關討論串,s8524152,03/22,00:10,25k,84
473,【心得】天梯的路還在前方，即使對手都是毒瘤也不要停下來啊！指定爬gm牌組分享,Aa28412230,03/19,15:13,3286,15
474,【問題】關於天界之門的減費效果,SuperGamer,03/19,12:03,2783,11
475,【情報】【3月25日 12:00 ～ 16:00（GMT+8）】配合版本更新實施伺服器維護公告,IANfan891112,03/18,16:59,6474,32
476,【心得】雙職業簡易搭配心得(新手向),sunsheep,03/17,15:40,4126,51
477,本討論串已無文章,Vice1412,03/16,21:50,136,0
478,【情報】【SHADOWVERSE EVOLVE】不講武德打雙職！SD05夢魘職業預組——永久的宿命 完整詳細內容翻譯,Vice1412,03/16,21:46,2651,3
479,【情報】「RAGE Shadowverse 2022 Spring GRAND FINALS」冠軍預測活動,SuperGamer,03/16,20:19,2562,0
480,【閒聊】雙職業休閒綜合牌組-妖盾教,X1923a,03/15,23:32,2867,5
481,【心得】【OOS 雙職業混合】打牌靠賽 輕鬆自在 混沌龍法分享,KoiKoi1022,03/14,22:16,8635,60
482,【心得】打牌靠賽輕鬆自在拔刀PP皇,andy75325,03/13,12:23,3081,13
483,【問題】神巴劇情哪裡找？,panchaio83,03/13,11:19,3007,9
484,【繪圖】【SHADOWVERSE FLAME】黑羽愛麗絲,Vice1412,03/12,17:27,3070,11
485,【情報】【SHADOWVERSE EVOLVE】極致的暴力美學！SD04龍族職業預組——蛇龍的爪牙 完整詳細內容翻譯,Vice1412,03/12,17:18,1553,0
486,本討論串已無文章,x3394841924,03/12,15:22,92,0
487,【情報】舉辦大賽「OOS 雙職業混合盃」,SuperGamer,03/11,13:17,2707,10
488,【心得】【無限制】教練，我想用皇家上GM啊......,sprite0418,03/10,19:47,5048,12
489,【問題】現在有人登入時閃退嗎,xyzera434800,03/10,14:25,1125,12
490,首篇已刪,sysop,03/09,16:38,2247,57
491,【心得】雙職業混合M 充能拉提卡──學會魔法的草,wayne880507,03/08,20:49,5862,16
492,【情報】【SHADOWVERSE EVOLVE】實卡的魔力增幅到底怎麼玩？SD03巫師職業預組 完整詳細內容翻譯,Vice1412,03/08,18:10,3129,4
493,本討論串已無文章,z1235045k7tj,03/08,14:06,473,3
494,【繪圖】YellowBean的主戰者還願圖(3/6 - 羈絆龍劍士‧艾拉),YellowBean,03/06,15:17,11k,20
495,【Cos】咒箱女王‧娜哈特‧娜哈特,a200540103,03/06,13:29,6449,16
496,【心得】自己用google試算表做了一個雲端戰績表,outoo58487,03/06,12:34,1148,4
497,【閒聊】天象旅籠篇壹劍章感想(有劇透),andy75325,03/06,01:49,6792,50
498,本討論串已無文章,Leo20020704,03/06,00:45,37,0
499,【情報】【SHADOWVERSE EVOLVE】薛定諤的官兵聯動？SD02皇家護衛職業預組 完整詳細內容翻譯,Vice1412,03/05,11:32,1898,0
500,【討論】期間限定形式「雙職業混合」牌組。晉級(大階)有BO賽要打,X1923a,03/04,20:52,8188,18
501,【情報】雙職業混合艾莉卡被Ban囉,henry0731,03/04,16:10,11k,64
502,【問題】回坑求卡組推薦,Aloneboyy,03/03,09:19,1884,6
503,【閒聊】混合職業- 復仇者巫師,z1235045k7tj,03/03,09:12,3832,20
504,【情報】【SHADOWVERSE EVOLVE】妖精公主終於獲得阿麗雅之名！SD01精靈職業預組完整詳細內容翻譯,Vice1412,03/02,18:53,2190,4
505,【心得】快還要更快,z30653068,03/02,16:39,3826,11
506,【討論】雙職業混合：打主教，這手有沒有0TK，或者SET斬的可能性,SuperGamer,03/02,11:18,2444,4
507,【討論】可以自動產生牌組縮圖&牌組代碼&牌組QR code的Discord BOT,kevin001958,03/01,22:51,2174,4
